question_id,source_kind,course_id,level,module_id,title,ข้อที่,รูปแบบโจทย์,คำถาม (Question),ตัวเลือก (Choices),เฉลย (Answer),มาตราที่เกี่ยวข้อง (Sections),คำอธิบายเหตุผล (Explanation),hint_1,hint_2,hint_3,yaml_path,source_note
q-395-management-without-mandate-elements,existing_level_1_yaml,41215,1,module-01-torts-unjust-enrichment,องค์ประกอบจัดการงานนอกสั่ง,1,MCQ,เลือกข้อความที่อธิบายลักษณะของจัดการงานนอกสั่งได้ถูกต้องที่สุด — ข้อใดเป็นจุดเริ่มต้นที่ถูกต้องในการพิจารณาจัดการงานนอกสั่ง,"ก. ผู้จัดการทำกิจการแทนผู้อื่นโดยมีสัญญาจ้างหรือสัญญาตัวแทนอยู่ก่อน
ข. ผู้จัดการเข้าทำกิจการแทนผู้อื่นโดยไม่ได้รับมอบหมายและต้องพิจารณาว่าสมประโยชน์ของตัวการหรือไม่
ค. ผู้จัดการทำสิ่งใดก็ตามที่ทำให้ตนเองได้ประโยชน์เป็นหลัก",ข,395,คำตอบนี้ตรงกับแกนของมาตรา 395 และเป็นฐานก่อนพิจารณาผลตามมาตราอื่น,โจทย์นี้ถามเรื่องจัดการงานนอกสั่ง,มองหาการเข้าทำกิจการแทนผู้อื่นโดยไม่ได้รับมอบหมาย,พิจารณามาตรา 395,content/courses/41215/modules/module-01-torts-unjust-enrichment/questions/level-1/q-395-management-without-mandate-elements.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-420-drag-elements-to-facts,existing_level_1_yaml,41215,1,module-01-torts-unjust-enrichment,จับคู่องค์ประกอบมาตรา 420 กับข้อเท็จจริง,2,DRAG DROP,นาย ก. ยกแจกันโดยไม่ระวัง แจกันตกใส่นาย ข. จนบาดเจ็บ — ลากข้อเท็จจริงไปจับคู่กับองค์ประกอบที่ถูกต้อง,"รายการลาก: fact-1=ยกแจกันโดยไม่ระวัง | fact-2=นาย ข. ได้รับบาดเจ็บ
กล่องคำตอบ: element-negligence=ประมาทเลินเล่อ | element-damage=ความเสียหาย",ยกแจกันโดยไม่ระวัง=ประมาทเลินเล่อ | นาย ข. ได้รับบาดเจ็บ=ความเสียหาย,420,โจทย์ลากวาง ให้จับคู่รายการกับหมวดหรือองค์ประกอบที่ถูกต้อง,โจทย์นี้ให้จับคู่ข้อเท็จจริงกับองค์ประกอบละเมิด,แยกพฤติกรรมของผู้กระทำออกจากผลเสียหาย,พิจารณาประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 420,content/courses/41215/modules/module-01-torts-unjust-enrichment/questions/level-1/q-420-drag-elements-to-facts.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-420-elements,existing_level_1_yaml,41215,1,module-01-torts-unjust-enrichment,องค์ประกอบมาตรา 420,3,MCQ,เลือกข้อความที่อธิบายองค์ประกอบสำคัญของละเมิดทั่วไปตามมาตรา 420 ได้ถูกต้องที่สุด — ข้อใดกล่าวถูกต้อง,"ก. ต้องมีเจตนาทำให้เสียหายเท่านั้น จึงเป็นละเมิด
ข. ต้องมีการกระทำโดยจงใจหรือประมาทเลินเล่อโดยผิดกฎหมาย เกิดความเสียหาย และมีเหตุสัมพันธ์",ข,420,คำตอบนี้ครอบคลุมองค์ประกอบหลักของมาตรา 420,โจทย์ถามฐานละเมิดทั่วไป,มองหาคำว่า จงใจ ประมาทเลินเล่อ ความเสียหาย และเหตุสัมพันธ์,พิจารณาประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 420,content/courses/41215/modules/module-01-torts-unjust-enrichment/questions/level-1/q-420-elements.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-tort-liability-bases-matching,existing_level_1_yaml,41215,1,module-01-torts-unjust-enrichment,จับคู่ฐานความรับผิดละเมิดกับมาตรา,4,MATCHING,จับคู่สถานการณ์กับมาตราที่ควรเริ่มพิจารณา — เลือกมาตราที่สัมพันธ์กับฐานความรับผิดมากที่สุด,"1. นายจ้างอาจต้องรับผิดจากละเมิดที่ลูกจ้างทำในทางการที่จ้าง
2. ผู้เยาว์ทำละเมิดและต้องพิจารณาความรับผิดของบิดามารดา
3. สุนัขกัดคนเดินถนนจนบาดเจ็บ
4. ผนังอาคารเก่าพังลงมาทำให้คนเสียหาย
5. รถยนต์ชนผู้เสียหายและต้องพิจารณาผู้ครอบครองหรือควบคุมดูแล",1=425 | 2=429 | 3=433 | 4=434 | 5=437,"420, 425, 429, 433, 434, 437",โจทย์จับคู่ ให้เลือกคำตอบที่สัมพันธ์กับแต่ละข้อความให้ครบทุกคู่,โจทย์นี้ฝึกแยกฐานความรับผิดละเมิด,ถามก่อนว่าเสียหายเกิดจากการกระทำของใคร บุคคลอื่น หรือทรัพย์ชนิดใด,"เปรียบเทียบมาตรา 420, 425, 429, 433, 434 และ 437",content/courses/41215/modules/module-01-torts-unjust-enrichment/questions/level-1/q-tort-liability-bases-matching.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-1304-public-property,existing_level_1_yaml,41215,1,module-02-property,สาธารณสมบัติของแผ่นดิน,5,MCQ,เลือกข้อความที่สะท้อนหลักการจำแนกสาธารณสมบัติของแผ่นดินตามมาตรา 1304 ได้เหมาะสมที่สุด — ข้อใดกล่าวถูกต้อง,"ก. ทรัพย์สินทุกชนิดที่รัฐเป็นเจ้าของถือเป็นสาธารณสมบัติของแผ่นดินเสมอ
ข. ต้องพิจารณาลักษณะทรัพย์และวัตถุประสงค์การใช้เพื่อสาธารณประโยชน์หรือประโยชน์ร่วมกัน",ข,1304,คำตอบนี้ตรงกับแนวคิดหลักของการจำแนกตามมาตรา 1304,โจทย์นี้เกี่ยวกับทรัพย์สินของแผ่นดิน,มองหาว่าทรัพย์นั้นมีวัตถุประสงค์เพื่อสาธารณประโยชน์หรือประโยชน์ร่วมกันหรือไม่,พิจารณาประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1304,content/courses/41215/modules/module-02-property/questions/level-1/q-1304-public-property.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-14-other-real-rights-matching,existing_level_1_yaml,41215,1,module-02-property,จับคู่ทรัพยสิทธิอื่น,6,MATCHING,จับคู่ลักษณะสิทธิกับชื่อทรัพยสิทธิ — เลือกชื่อสิทธิที่ตรงกับลักษณะมากที่สุด,"1. สิทธิอยู่อาศัยในโรงเรือนของผู้อื่น
2. สิทธิเป็นเจ้าของโรงเรือนหรือสิ่งปลูกสร้างบนที่ดินของผู้อื่น
3. สิทธิใช้และถือเอาประโยชน์จากอสังหาริมทรัพย์ของผู้อื่น
4. อสังหาริมทรัพย์หนึ่งต้องรับกรรมเพื่อประโยชน์แก่อสังหาริมทรัพย์อื่น",1=สิทธิอาศัย | 2=สิทธิเหนือพื้นดิน | 3=สิทธิเก็บกิน | 4=ภาระจำยอม,"1402, 1410, 1417, 1387",โจทย์จับคู่ ให้เลือกคำตอบที่สัมพันธ์กับแต่ละข้อความให้ครบทุกคู่,โจทย์นี้เกี่ยวกับทรัพยสิทธิอื่นที่จำกัดกรรมสิทธิ์,แยกว่าเป็นสิทธิอยู่อาศัย สิ่งปลูกสร้าง ใช้ประโยชน์ หรือรับกรรมเพื่อที่ดินอื่น,"เปรียบเทียบมาตรา 1402, 1410, 1417 และ 1387",content/courses/41215/modules/module-02-property/questions/level-1/q-14-other-real-rights-matching.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-8-real-vs-personal-rights,existing_level_1_yaml,41215,1,module-02-property,แยกทรัพยสิทธิกับบุคคลสิทธิ,7,MATCHING,จับคู่ข้อความกับประเภทสิทธิที่เหมาะสม — ข้อความใดเป็นทรัพยสิทธิหรือบุคคลสิทธิ,"1. สิทธิเหนือทรัพย์ที่อาจใช้ยันบุคคลทั่วไปได้เมื่อก่อตั้งถูกต้อง
2. สิทธิเรียกร้องให้คู่สัญญาชำระหนี้หรือปฏิบัติตามสัญญา
3. สิทธิอาศัยหรือภาระจำยอมที่เป็นสิทธิเกี่ยวกับอสังหาริมทรัพย์
4. สิทธิของผู้เช่าที่เรียกร้องต่อผู้ให้เช่าตามสัญญาเช่า",1=ทรัพยสิทธิ | 2=บุคคลสิทธิ | 3=ทรัพยสิทธิ | 4=บุคคลสิทธิ,1299,โจทย์จับคู่ ให้เลือกคำตอบที่สัมพันธ์กับแต่ละข้อความให้ครบทุกคู่,โจทย์นี้ฝึกแยกประเภทสิทธิตามวัตถุแห่งสิทธิ,ทรัพยสิทธิมุ่งสิทธิเหนือทรัพย์ ส่วนบุคคลสิทธิมุ่งสิทธิเรียกร้องต่อบุคคล,เชื่อมกับหลักทรัพยสิทธิและผลของมาตรา 1299 เมื่อต้องจดทะเบียน,content/courses/41215/modules/module-02-property/questions/level-1/q-8-real-vs-personal-rights.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-property-types-drag,existing_level_1_yaml,41215,1,module-02-property,จับคู่ประเภทของทรัพย์,8,DRAG DROP,จับคู่ตัวอย่างทรัพย์กับประเภททางกฎหมายที่เหมาะสม — ลากตัวอย่างไปยังหมวดทรัพย์ที่ถูกต้อง,"รายการลาก: item-land=ที่ดิน | item-car=รถยนต์ | item-fruit=ผลไม้ที่เกิดจากต้นไม้
กล่องคำตอบ: immovable=อสังหาริมทรัพย์ | movable=สังหาริมทรัพย์ | fruit=ดอกผล",ที่ดิน=อสังหาริมทรัพย์ | รถยนต์=สังหาริมทรัพย์ | ผลไม้ที่เกิดจากต้นไม้=ดอกผล,"",โจทย์ลากวาง ให้จับคู่รายการกับหมวดหรือองค์ประกอบที่ถูกต้อง,โจทย์นี้ฝึกแยกประเภททรัพย์,ดูว่าทรัพย์นั้นเคลื่อนที่ได้หรือเกี่ยวกับที่ดินโดยสภาพ,ทบทวนหัวข้อประเภทของทรัพย์ ส่วนควบ อุปกรณ์ และดอกผล,content/courses/41215/modules/module-02-property/questions/level-1/q-property-types-drag.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-public-property-protection-matching,existing_level_1_yaml,41215,1,module-02-property,จับคู่หลักสาธารณสมบัติของแผ่นดิน,9,MATCHING,จับคู่หลักกฎหมายเกี่ยวกับสาธารณสมบัติของแผ่นดินกับมาตราที่เกี่ยวข้อง — เลือกมาตราที่สัมพันธ์กับข้อความมากที่สุด,"1. การจำแนกสาธารณสมบัติของแผ่นดิน
2. ข้อจำกัดเรื่องการโอนหรือจำหน่ายสาธารณสมบัติของแผ่นดิน
3. ผลเรื่องการยกอายุความหรือการครอบครองปรปักษ์ขึ้นต่อสู้
4. ผลคุ้มครองสาธารณสมบัติของแผ่นดินจากการอ้างสิทธิ",1=1304 | 2=1305 | 3=1306 | 4=1307,"1304, 1305, 1306, 1307",โจทย์จับคู่ ให้เลือกคำตอบที่สัมพันธ์กับแต่ละข้อความให้ครบทุกคู่,โจทย์นี้เกี่ยวกับสาธารณสมบัติของแผ่นดิน,แยกการจำแนก การโอน อายุความ และผลคุ้มครอง,พิจารณามาตรา 1304 ถึง 1307,content/courses/41215/modules/module-02-property/questions/level-1/q-public-property-protection-matching.yaml,แปลงจาก Level 1 YAML เดิมใน repo
q-level1-41215-import-001,pasted_quiz_data,41215,1,module-01-torts-unjust-enrichment,นิติบุคคลสามารถเป็นผู้ทำละเมิดได้หรือไม่ และพิจารณาจากสิ่งใด,1,MCQ,นิติบุคคลสามารถเป็นผู้ทำละเมิดได้หรือไม่ และพิจารณาจากสิ่งใด,"ก. ได้ ถ้ามีกฎหมายเฉพาะบังคับให้รับผิด
ข. ได้ เพราะถ้าผู้แทนทำผิดข้อบังคับ
ค. ไม่ได้ เพราะนิติบุคคลไม่สามารถรู้ผิดชอบและไม่มีการกระทำ
ง. ไม่ได้ เพราะนิติบุคคลไม่สามารถรู้สำนึกในการกระทำจึงไม่อาจจงใจหรือประมาทเลินเล่อได้
จ. ได้ เพราะมีสภาพเป็นบุคคลตามกฎหมาย โดยพิจารณาจากการกระทำของผู้แทนนิติบุคคลในหน้าที่",จ,"มาตรา 67, 73, 420",นิติบุคคลมีสภาพบุคคลและมีความสามารถภายใต้ขอบวัตถุประสงค์ตามกฎหมาย เมื่อผู้แทนนิติบุคคลได้กระทำการใดๆ ในหน้าที่แทนกลุ่มนิติบุคคลและก่อให้เกิดความเสียหายแก่ผู้อื่น การกระทำของผู้แทนย่อมถือเป็นการกระทำของนิติบุคคล นิติบุคคลจึงเป็นผู้ทำละเมิดและต้องรับผิดชอบได้,"","","","",นำเข้าจาก pasted-text.txt วันที่ 2026-07-16
